"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"1",1,"Jeff Adrien\adrieje01","PF",24,"GSW",23,0,196,5.9,13.9,0.426,0,0,NA,5.9,13.9,0.426,2.8,4.9,0.579,5.9,9,15,2.6,1,1.3,2.3,7.2,14.7,NA,102,110,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",25,"DEN",69,69,2324,6.7,13.5,0.498,2.3,5.4,0.423,4.5,8.2,0.546,3,3.5,0.847,1,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,NA,123,111,"arronafflalo"
"3",3,"Maurice Ager\agerma01","SG",26,"MIN",4,0,29,10.3,18.9,0.545,5.1,6.9,0.75,5.1,12,0.429,0,0,NA,0,3.4,3.4,1.7,1.7,0,6.9,6.9,25.7,NA,94,114,"mauriceager"
"4",5,"Solomon Alabi\alabiso01","C",22,"TOR",12,0,59,2.6,13.1,0.2,0,0,NA,2.6,13.1,0.2,0,1.8,0,6.1,6.1,12.3,1.8,1.8,1.8,2.6,4.4,5.3,NA,61,112,"solomonalabi"
"5",6,"Cole Aldrich\aldrico01","C",22,"OKC",18,0,142,2.9,5.5,0.533,0,0,NA,2.9,5.5,0.533,0.7,1.5,0.5,4.7,8,12.8,1.5,1.8,2.6,2.9,10.9,6.6,NA,98,104,"colealdrich"
"6",7,"LaMarcus Aldridge\aldrila01","PF",25,"POR",81,81,3211,12,24.1,0.5,0.1,0.4,0.174,12,23.7,0.505,6,7.5,0.791,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,NA,114,107,"lamarcusaldridge"
"7",8,"Malik Allen\allenma01","PF",32,"ORL",18,0,178,3.3,9.2,0.355,0,0,NA,3.3,9.2,0.355,0.3,0.6,0.5,3.5,5.9,9.5,1.2,0.3,1.2,0.9,8.9,6.8,NA,92,105,"malikallen"
"8",9,"Ray Allen\allenra02","SG",35,"BOS",80,80,2890,8.8,18,0.491,3.1,6.9,0.444,5.7,11,0.52,3.5,4,0.881,0.9,4.1,5,4,1.4,0.3,2.2,2.7,24.3,NA,116,104,"rayallen"
"9",10,"Tony Allen\allento01","SG",29,"MEM",72,31,1494,8.8,17.2,0.51,0.1,0.8,0.174,8.6,16.4,0.527,4.8,6.4,0.753,2.4,4.3,6.7,3.6,4.5,1.5,3,5.6,22.5,NA,110,101,"tonyallen"
"10",11,"Al-Farouq Aminu\aminual01","SF",20,"LAC",81,14,1452,5.7,14.5,0.394,1.6,5.1,0.315,4.1,9.4,0.437,3.3,4.2,0.773,2.7,6.8,9.5,2.1,2.1,0.9,3.7,4.3,16.3,NA,94,108,"alfarouqaminu"
"11",12,"Lou Amundson\amundlo01","PF",28,"GSW",46,7,691,6.1,13.4,0.454,0,0,NA,6.1,13.4,0.454,2.5,6.4,0.391,5.9,7.6,13.6,1.2,1,2.4,1.8,6.4,14.7,NA,101,110,"louamundson"
"12",13,"Chris Andersen\anderch01","C",32,"DEN",45,0,732,5.6,9.4,0.599,0,0.1,0,5.6,9.3,0.603,5.9,9.3,0.637,5.1,9.9,15,1.4,1.6,4,1.7,5.4,17.2,NA,129,102,"chrisandersen"
"13",15,"James Anderson\anderja01","SF",21,"SAS",26,2,286,5.6,14.7,0.383,3.3,8.4,0.391,2.4,6.4,0.371,2.5,3.3,0.778,0.4,3.8,4.2,3.3,0.5,1.1,2.4,4.4,17.1,NA,102,110,"jamesanderson"
"14",16,"Ryan Anderson\anderry01","PF",22,"ORL",64,14,1424,8.3,19.4,0.43,5,12.6,0.393,3.4,6.8,0.5,3.5,4.3,0.812,4.8,8.3,13.1,1.9,1.1,1.4,1.8,5.1,25.2,NA,122,102,"ryananderson"
"15",18,"Joel Anthony\anthojo01","C",28,"MIA",75,11,1463,1.9,3.6,0.535,0,0,NA,1.9,3.6,0.535,1.7,2.6,0.644,3.8,5.8,9.6,0.9,0.4,3.4,1.3,7,5.5,NA,120,104,"joelanthony"
"16",20,"Trevor Ariza\arizatr01","SF",25,"NOH",75,75,2600,6.3,15.9,0.398,1.7,5.6,0.303,4.6,10.2,0.45,2.9,4.1,0.701,1.3,7.2,8.5,3.4,2.5,0.6,2.5,3.7,17.2,NA,97,104,"trevorariza"
"17",23,"Darrell Arthur\arthuda01","PF",22,"MEM",80,9,1609,10.1,20.3,0.497,0,0.2,0,10.1,20.1,0.502,3.5,4.3,0.813,3.7,7.4,11.1,1.7,1.7,2,2.9,7.4,23.7,NA,106,104,"darrellarthur"
"18",24,"Omer Asik\asikom01","C",24,"CHI",82,0,989,4.2,7.6,0.553,0,0,NA,4.2,7.6,0.553,3.9,7.8,0.503,6,10.4,16.4,1.7,1.1,3,3.4,8.2,12.3,NA,104,97,"omerasik"
"19",25,"D.J. Augustin\augusdj01","PG",23,"CHA",82,82,2757,7.7,18.6,0.416,2.2,6.5,0.333,5.6,12.1,0.461,5.2,5.8,0.906,0.7,3.6,4.4,9.7,1,0.1,3,3,22.9,NA,112,112,"djaugustin"
"20",26,"Luke Babbitt\babbilu01","SF",21,"POR",24,0,137,6,21.9,0.273,1.2,6.4,0.188,4.8,15.5,0.308,1.2,3.6,0.333,2.4,9.6,12,2.4,0.8,0.8,3.2,6,14.3,NA,68,107,"lukebabbitt"
"21",28,"Marcus Banks\banksma01","PG",29,"TOR",3,0,22,0,4.7,0,0,0,NA,0,4.7,0,14.1,18.8,0.75,0,2.3,2.3,7,2.3,0,4.7,9.4,14.1,NA,99,114,"marcusbanks"
"22",29,"Leandro Barbosa\barbole01","SG",28,"TOR",58,0,1395,10.9,24.2,0.45,2.7,7.9,0.338,8.2,16.3,0.505,4,5.1,0.796,0.5,3.1,3.7,4.4,1.9,0.2,3.1,4.2,28.5,NA,105,115,"leandrobarbosa"
"23",30,"J.J. Barea\bareajo01","PG",26,"DAL",81,2,1669,9,20.4,0.439,2.1,6,0.349,6.9,14.5,0.476,4.2,4.9,0.847,0.9,4.1,5,10,0.9,0,4.3,4.3,24.2,NA,106,109,"jjbarea"
"24",31,"Andrea Bargnani\bargnan01","C",25,"TOR",66,66,2353,11.5,25.8,0.448,1.7,4.9,0.345,9.8,20.9,0.472,6.3,7.7,0.82,1.6,5.9,7.5,2.6,0.7,1,3.3,3.5,31.1,NA,105,115,"andreabargnani"
"25",32,"Matt Barnes\barnema02","SF",30,"LAL",53,0,1020,6.8,14.5,0.47,1.8,5.5,0.318,5,8.9,0.564,3.1,4,0.779,3.8,8,11.8,3.7,2,1.1,3,6.6,18.5,NA,112,103,"mattbarnes"
"26",34,"Brandon Bass\bassbr01","PF",25,"ORL",76,51,1980,8.8,17.1,0.515,0,0.1,0,8.8,17.1,0.516,5,6.2,0.815,3.6,7.7,11.3,1.5,0.7,1.4,2.6,4.2,22.7,NA,113,103,"brandonbass"
"27",35,"Tony Battie\battito01","C",34,"PHI",38,0,377,6.2,13.3,0.469,0.3,0.4,0.667,6,12.9,0.462,1.1,1.9,0.571,2.4,11.4,13.7,1.7,0.7,2.1,1.7,8.2,13.9,NA,99,103,"tonybattie"
"28",37,"Nicolas Batum\batumni01","SF",22,"POR",80,67,2522,7.9,17.5,0.455,2.6,7.4,0.345,5.4,10.1,0.535,3,3.6,0.841,2.4,5.5,7.8,2.7,1.5,1.1,1.8,4.2,21.4,NA,116,108,"nicolasbatum"
"29",39,"Michael Beasley\beaslmi01","SF",22,"MIN",73,73,2361,11.8,26.3,0.45,1.3,3.5,0.366,10.6,22.8,0.463,4.6,6.1,0.753,2.5,6.1,8.6,3.3,1.1,1.1,4.1,4.7,29.5,NA,100,112,"michaelbeasley"
"30",40,"Rodrigue Beaubois\beaubro01","PG",22,"DAL",28,26,496,10,23.6,0.422,2.7,8.8,0.301,7.3,14.8,0.493,2.4,3.2,0.767,0.7,4.8,5.5,6.8,2.1,0.8,5,8.1,25,NA,93,105,"rodriguebeaubois"
"31",41,"Marco Belinelli\belinma01","SG",24,"NOH",80,69,1957,8.3,19.1,0.437,3.7,9,0.414,4.6,10.1,0.458,2.7,3.5,0.784,0.5,3.7,4.2,2.5,1.1,0.2,2.1,4,23.1,NA,107,109,"marcobelinelli"
"32",42,"Charlie Bell\bellch01","SG",31,"GSW",19,0,171,3.6,12.7,0.279,1.8,6.2,0.286,1.8,6.5,0.273,0.6,1.2,0.5,1.8,3.6,5.3,3.8,1.8,0.3,1.8,3.8,9.5,NA,85,114,"charliebell"
"33",43,"Raja Bell\bellra01","SG",34,"UTA",68,63,2097,4.8,11.7,0.409,1.7,4.9,0.352,3.1,6.9,0.449,2.3,2.6,0.892,0.8,3.6,4.4,3,1.4,0.4,1.6,4.2,13.6,NA,107,114,"rajabell"
"34",45,"Andris Biedrins\biedran01","C",24,"GSW",59,55,1397,5.1,9.6,0.534,0,0,NA,5.1,9.6,0.534,0.4,1.1,0.323,5.3,10.2,15.4,2.2,1.9,1.9,2.1,7.2,10.7,NA,109,107,"andrisbiedrins"
"35",47,"DeJuan Blair\blairde01","PF",21,"SAS",81,65,1734,8.8,17.5,0.501,0,0.1,0,8.8,17.4,0.503,2.7,4.1,0.657,6.4,10.5,16.9,2.3,2.8,1.3,3.4,6.4,20.2,NA,106,100,"dejuanblair"
"36",48,"Steve Blake\blakest01","PG",30,"LAL",79,0,1581,3.7,10.2,0.359,2.4,6.5,0.378,1.2,3.8,0.327,0.9,1,0.867,0.6,4.6,5.2,5.7,1.3,0.1,2.4,3.3,10.7,NA,101,108,"steveblake"
"37",49,"Andray Blatche\blatcan01","PF",24,"WAS",64,63,2172,10,22.5,0.445,0.1,0.4,0.222,9.9,22.1,0.449,5.2,6.7,0.777,4.3,8.1,12.4,3.4,2.3,1.2,4.1,4.3,25.3,NA,100,108,"andrayblatche"
"38",50,"Eric Bledsoe\bledser01","PG",21,"LAC",81,25,1841,5.8,13.6,0.424,0.9,3.3,0.276,4.9,10.4,0.47,2.8,3.7,0.744,1.9,4.4,6.3,8.1,2.6,0.7,5.4,3.7,15.2,NA,93,108,"ericbledsoe"
"39",51,"Keith Bogans\boganke01","SG",30,"CHI",82,82,1461,4.5,11.2,0.404,3.3,8.6,0.38,1.2,2.5,0.486,0.8,1.2,0.656,0.7,4.7,5.4,3.7,1.4,0.3,1.5,4.1,13.1,NA,113,103,"keithbogans"
"40",52,"Andrew Bogut\bogutan01","C",26,"MIL",65,65,2297,8.5,17.3,0.495,0,0.1,0,8.5,17.2,0.497,2.2,5.1,0.442,4.6,12.1,16.8,3,1.1,3.9,2.9,5.1,19.3,NA,100,97,"andrewbogut"
"41",53,"Matt Bonner\bonnema01","PF",30,"SAS",66,1,1432,6.2,13.5,0.464,3.8,8.4,0.457,2.4,5.1,0.475,1.2,1.6,0.744,2.2,6.5,8.7,2.2,0.9,0.8,1,4,17.5,NA,125,108,"mattbonner"
"42",54,"Trevor Booker\booketr01","PF",23,"WAS",65,14,1063,6.7,12.2,0.549,0,0,0,6.7,12.1,0.552,3.3,4.9,0.673,4.7,7.4,12.1,1.7,1.4,2,1.8,5.5,16.7,NA,118,109,"trevorbooker"
"43",55,"Carlos Boozer\boozeca01","C",29,"CHI",59,59,1882,12.2,23.9,0.51,0,0,NA,12.2,23.9,0.51,4.8,6.9,0.701,3.7,12.3,15.9,4.1,1.3,0.5,4.2,5.3,29.2,NA,105,99,"carlosboozer"
"44",56,"Chris Bosh\boshch01","PF",26,"MIA",77,77,2795,9.9,20,0.496,0.1,0.5,0.24,9.8,19.5,0.502,7.3,8.9,0.815,2.7,9.4,12.1,2.7,1.1,0.9,2.6,3.2,27.2,NA,115,103,"chrisbosh"
"45",57,"Earl Boykins\boykiea01","PG",34,"MIL",57,0,862,9.7,21.8,0.443,1.7,4.4,0.38,8,17.4,0.459,4.3,5.1,0.841,0.9,2.5,3.4,8.7,2.4,0.2,3.2,2.7,25.3,NA,108,105,"earlboykins"
"46",58,"Craig Brackins\brackcr01","PF",23,"PHI",3,0,33,6.3,25.4,0.25,0,7.9,0,6.3,17.5,0.364,0,0,NA,3.2,3.2,6.3,1.6,1.6,0,0,4.8,12.7,NA,66,108,"craigbrackins"
"47",59,"Avery Bradley\bradlav01","PG",20,"BOS",31,0,162,7.5,22,0.343,0,1.6,0,7.5,20.3,0.371,2,3.9,0.5,1.3,4.3,5.6,3.9,3,0,5.2,6.6,17,NA,68,101,"averybradley"
"48",60,"Elton Brand\brandel01","PF",31,"PHI",81,81,2809,9.4,18.3,0.512,0,0,0,9.4,18.3,0.512,4,5.1,0.78,4.4,8.2,12.6,2.2,1.7,2,1.9,4.5,22.7,NA,114,103,"eltonbrand"
"49",62,"Ronnie Brewer\brewero02","SG",25,"CHI",81,1,1781,6.1,12.7,0.48,0.2,0.8,0.222,5.9,11.9,0.498,2.6,4,0.654,1.6,6.2,7.8,4.2,3.2,0.7,1.6,2.4,15,NA,110,98,"ronniebrewer"
"50",63,"Jon Brockman\brockjo01","C",23,"MIL",63,6,677,3.8,7.4,0.511,0,0,NA,3.8,7.4,0.511,3.2,4.7,0.678,5.8,8.7,14.5,1.4,1.1,0.2,1.9,9.4,10.7,NA,117,103,"jonbrockman"
"51",66,"Kwame Brown\brownkw01","C",28,"CHA",66,50,1714,6.1,11.7,0.517,0,0,NA,6.1,11.7,0.517,4.2,7.2,0.589,4.6,9.5,14.1,1.3,0.8,1.2,2.2,5.4,16.4,NA,110,108,"kwamebrown"
"52",67,"Shannon Brown\brownsh01","SG",25,"LAL",82,0,1568,9.2,21.7,0.425,2.5,7.2,0.349,6.7,14.5,0.462,3.1,3.4,0.911,1.2,4.1,5.3,3.2,2.3,0.5,2.5,4.2,24,NA,105,106,"shannonbrown"
"53",68,"Kobe Bryant\bryanko01","SG",32,"LAL",82,82,2779,14.1,31.2,0.451,2.2,6.8,0.323,11.9,24.4,0.487,9.2,11.1,0.828,1.6,6.4,8,7.4,1.9,0.2,4.6,3.3,39.6,NA,111,105,"kobebryant"
"54",69,"Chase Budinger\budinch01","SF",22,"HOU",78,22,1738,8.2,19.2,0.425,2.6,8,0.325,5.6,11.2,0.497,3.5,4,0.855,1.5,6.7,8.2,3.7,1.2,0.5,2,3.3,22.4,NA,110,110,"chasebudinger"
"55",70,"Caron Butler\butleca01","SF",30,"DAL",29,29,867,10.3,22.9,0.45,1.7,3.9,0.431,8.6,19,0.454,4.1,5.3,0.773,1.3,5.8,7.2,2.8,1.7,0.5,3,3.6,26.4,NA,100,106,"caronbutler"
"56",72,"Andrew Bynum\bynuman01","C",23,"LAL",54,47,1500,8.4,14.6,0.574,0,0,NA,8.4,14.6,0.574,4.9,7.4,0.66,6,11.9,17.9,2.6,0.7,3.7,2.6,4.9,21.6,NA,121,100,"andrewbynum"
"57",73,"Will Bynum\bynumwi01","PG",28,"DET",61,5,1125,8.7,19.4,0.448,0.8,2.4,0.32,7.9,17,0.466,4.9,5.8,0.836,0.7,2.8,3.5,9.3,2.5,0.2,4,5.4,23.1,NA,106,113,"willbynum"
"58",74,"Jose Calderon\caldejo01","PG",29,"TOR",68,55,2102,6.4,14.7,0.44,1.4,3.8,0.365,5,10.8,0.466,2.2,2.5,0.854,0.7,4.2,5,14.9,2,0.2,3.6,3.5,16.5,NA,112,114,"josecalderon"
"59",75,"Marcus Camby\cambyma01","C",36,"POR",59,51,1540,4.1,10.4,0.398,0,0,0,4.1,10.4,0.399,1.5,2.5,0.614,6.5,15,21.5,4.3,1.4,3.3,2.2,5,9.8,NA,105,100,"marcuscamby"
"60",76,"Derrick Caracter\caracde01","C",22,"LAL",41,0,215,7.9,16.2,0.485,0,0,NA,7.9,16.2,0.485,4.2,5.7,0.739,4.7,5.9,10.6,1.7,1,2.5,4.7,11.6,19.9,NA,98,105,"derrickcaracter"
"61",77,"Brian Cardinal\cardibr01","SF",33,"DAL",56,4,618,3.7,8.5,0.43,3.6,7.4,0.483,0.1,1.1,0.077,1.4,1.5,0.944,0.9,4.2,5,3.4,2,0.6,1.4,7,12.3,NA,126,106,"briancardinal"
"62",80,"Matt Carroll\carroma01","SG",30,"CHA",54,1,582,8.2,18.3,0.447,1.6,4.2,0.37,6.6,14.1,0.471,3.7,4.8,0.769,1.1,5.2,6.3,2.1,1.6,0.6,2.1,4,21.6,NA,103,109,"mattcarroll"
"63",83,"Omri Casspi\casspom01","SF",22,"SAC",71,27,1702,6.7,16.2,0.412,2.7,7.3,0.372,3.9,8.9,0.445,2,3,0.673,2.2,6.9,9.1,2.2,1.6,0.4,2,3.4,18.1,NA,106,109,"omricasspi"
"64",84,"Mario Chalmers\chalmma01","PG",24,"MIA",70,28,1579,5.2,13,0.399,2.8,7.7,0.359,2.4,5.3,0.459,1.8,2.1,0.871,0.4,4.5,4.9,5.9,2.5,0.2,3,5.3,14.9,NA,103,104,"mariochalmers"
"65",85,"Tyson Chandler\chandty01","C",28,"DAL",74,74,2059,6.8,10.4,0.654,0,0,NA,6.8,10.4,0.654,5.5,7.5,0.732,5.3,12.4,17.7,0.8,0.9,2,2.2,6.1,19.1,NA,131,102,"tysonchandler"
"66",87,"Josh Childress\childjo01","SG",27,"PHO",54,3,894,6.9,12.2,0.565,0.1,0.9,0.063,6.8,11.3,0.606,1.6,3.4,0.492,3.9,4.9,8.8,2.4,1.9,1.3,2.5,3.9,15.5,NA,109,110,"joshchildress"
"67",90,"Jason Collins\collija04","C",32,"ATL",49,28,593,3.1,6.4,0.479,0.1,0.1,1,3,6.3,0.471,2.4,3.7,0.659,2.7,6.5,9.2,2,0.8,0.8,2.4,8.8,8.7,NA,101,108,"jasoncollins"
"68",91,"Sherron Collins\collish01","PG",23,"CHA",20,0,66,5.7,20.3,0.28,1.6,8.1,0.2,4.1,12.2,0.333,0.8,0.8,1,0,4.1,4.1,6.5,1.6,0,3.2,1.6,13.8,NA,73,111,"sherroncollins"
"69",92,"Darren Collison\collida01","PG",23,"IND",79,79,2360,8.5,18.7,0.457,0.9,2.7,0.331,7.7,16,0.479,4.3,5,0.871,0.9,4,4.8,8.7,1.9,0.3,4.2,2.3,22.3,NA,105,108,"darrencollison"
"70",93,"Nick Collison\collini01","C",30,"OKC",71,2,1524,4.7,8.2,0.566,0,0,NA,4.7,8.2,0.566,1.9,2.5,0.753,4,6.7,10.7,2.3,1.4,1.1,1.9,7.1,11.2,NA,120,108,"nickcollison"
"71",94,"Mike Conley\conlemi01","PG",23,"MEM",81,81,2872,7.7,17.3,0.444,1.5,3.9,0.369,6.2,13.4,0.466,3.3,4.5,0.733,0.6,3.9,4.5,9.6,2.6,0.3,3.2,3.3,20.1,NA,108,107,"mikeconley"
"72",95,"Brian Cook\cookbr01","PF",30,"LAC",40,0,447,8.3,19.7,0.424,3.9,9.1,0.43,4.4,10.5,0.418,1.7,2.8,0.625,2.2,8.9,11.1,1.7,1.4,1.3,2.9,8.7,22.3,NA,101,107,"briancook"
"73",96,"Daequan Cook\cookda02","SG",23,"OKC",43,0,598,6.8,15.7,0.436,5.6,13.3,0.422,1.2,2.3,0.519,1.4,1.7,0.8,0.7,5.5,6.2,1.7,1.2,0.1,1.5,4.4,20.7,NA,122,110,"daequancook"
"74",97,"Marcus Cousin\cousima01","C",24,"UTA",4,0,18,5.9,8.8,0.667,0,0,NA,5.9,8.8,0.667,0,0,NA,0,8.8,8.8,0,0,2.9,2.9,2.9,11.7,NA,90,111,"marcuscousin"
"75",98,"DeMarcus Cousins\couside01","C",20,"SAC",81,62,2309,9.4,21.9,0.43,0.1,0.4,0.167,9.4,21.5,0.435,6,8.8,0.687,4.7,10.5,15.3,4.5,1.9,1.5,5.9,7.2,25,NA,94,105,"demarcuscousins"
"76",99,"Jamal Crawford\crawfja01","SG",30,"ATL",76,0,2297,8.6,20.4,0.421,2.8,8.2,0.341,5.8,12.3,0.474,5.2,6.1,0.854,0.5,2.5,3,5.6,1.3,0.3,3.4,2.3,25.2,NA,105,111,"jamalcrawford"
"77",102,"Stephen Curry\curryst01","PG",22,"GSW",74,74,2489,10.3,21.4,0.48,3.1,7,0.442,7.2,14.5,0.498,4.3,4.6,0.934,1.1,4.8,5.8,8.8,2.2,0.4,4.6,4.7,27.9,NA,113,112,"stephencurry"
"78",103,"Samuel Dalembert\dalemsa01","C",29,"SAC",80,46,1938,7,14.8,0.473,0,0.1,0,7,14.7,0.474,2.8,3.9,0.73,5.5,11.6,17.1,1.7,0.9,3,3.4,5.9,16.8,NA,100,105,"samueldalembert"
"79",104,"Erick Dampier\dampier01","C",35,"MIA",51,22,815,3.4,5.8,0.584,0,0.1,0,3.4,5.7,0.591,1.6,2.9,0.545,3.4,8,11.5,1.4,0.9,3,2.1,5.3,8.3,NA,110,102,"erickdampier"
"80",105,"Antonio Daniels\daniean01","PG",35,"PHI",4,0,35,3,7.5,0.4,0,3,0,3,4.5,0.667,3,3,1,0,7.5,7.5,3,0,0,1.5,0,9,NA,101,109,"antoniodaniels"
"81",106,"Marquis Daniels\daniema01","SF",30,"BOS",49,0,938,6.5,13.1,0.491,0.2,1.2,0.19,6.2,11.9,0.521,2.2,3.2,0.684,1.4,5,6.4,3.6,2.2,1.2,2.2,3.6,15.3,NA,102,101,"marquisdaniels"
"82",108,"Ed Davis\davised01","PF",21,"TOR",65,17,1602,6.9,12,0.576,0,0,NA,6.9,12,0.576,2.3,4.1,0.555,5.4,9.5,14.9,1.3,1.3,2.2,1.5,5.9,16.2,NA,120,110,"eddavis"
"83",109,"Glen Davis\davisgl01","C",25,"BOS",78,13,2298,8.3,18.5,0.448,0,0.3,0.133,8.3,18.2,0.454,4.5,6.1,0.736,2.3,7.5,9.8,2.1,1.8,0.7,2,5.3,21.1,NA,101,100,"glendavis"
"84",110,"Austin Daye\dayeau01","SF",22,"DET",72,16,1446,7.2,17.5,0.41,2.6,6.4,0.401,4.6,11.1,0.415,3.1,4,0.759,2.4,7.8,10.2,2.9,1.5,1.5,2.2,6.1,20,NA,106,110,"austindaye"
"85",111,"Carlos Delfino\delfica01","SF",28,"MIL",49,40,1590,6.7,17.3,0.39,3.5,9.6,0.37,3.2,7.7,0.415,2,2.5,0.8,0.8,5.9,6.7,3.8,2.6,0.3,1.9,2.4,19,NA,104,102,"carlosdelfino"
"86",112,"Luol Deng\denglu01","SF",25,"CHI",82,82,3208,8.8,19.1,0.46,1.9,5.5,0.345,6.9,13.6,0.506,4.2,5.6,0.753,1.9,6,7.9,3.8,1.3,0.8,2.6,2.7,23.7,NA,111,102,"luoldeng"
"87",113,"DeMar DeRozan\derozde01","SG",21,"TOR",82,82,2851,9.8,20.9,0.467,0.1,0.9,0.096,9.7,20,0.485,5.9,7.3,0.813,1.4,4.4,5.7,2.7,1.5,0.6,2.6,3.9,25.6,NA,106,115,"demarderozan"
"88",114,"Boris Diaw\diawbo01","PF",28,"CHA",82,82,2778,7.3,14.9,0.492,1.5,4.4,0.345,5.8,10.6,0.553,1.6,2.4,0.683,2,6,8,6.5,1.4,0.9,3.2,3.7,17.8,NA,107,109,"borisdiaw"
"89",115,"Ike Diogu\dioguik01","PF",27,"LAC",36,0,470,9.1,16.3,0.561,0,0,NA,9.1,16.3,0.561,4.5,6.8,0.661,4.5,8.1,12.6,0.2,0.3,0.3,2.4,7.9,22.8,NA,113,111,"ikediogu"
"90",116,"DeSagana Diop\diopde01","C",29,"CHA",16,0,181,2.4,7.1,0.333,0,0,NA,2.4,7.1,0.333,1.2,3.3,0.364,3.5,8.3,11.8,2.1,1.2,4.4,3.3,7.7,5.9,NA,73,104,"desaganadiop"
