Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Jeff Adrien\adrieje01,PF,25,HOU,8,0,63,5.8,13.3,.438,0.0,0.0,,5.8,13.3,.438,5.8,10.0,.583,4.2,14.1,18.3,0.8,0.0,1.7,1.7,10.8,17.5,,106,103
2,Arron Afflalo\afflaar01,SG,26,DEN,62,62,2086,8.0,17.1,.471,2.1,5.4,.398,5.9,11.7,.504,4.8,6.0,.798,1.0,3.8,4.8,3.6,0.9,0.3,2.1,3.3,23.0,,116,111
3,Blake Ahearn\ahearbl01,PG,27,UTA,4,0,30,7.0,24.5,.286,3.5,15.7,.222,3.5,8.7,.400,0.0,0.0,,0.0,3.5,3.5,1.7,0.0,0.0,8.7,7.0,17.5,,57,113
4,Solomon Alabi\alabiso01,C,23,TOR,14,0,122,5.7,15.9,.361,0.0,0.0,,5.7,15.9,.361,3.1,3.5,.875,6.6,14.1,20.7,1.3,0.9,4.0,2.2,4.8,14.5,,95,98
5,Cole Aldrich\aldrico01,C,23,OKC,26,0,173,6.6,12.5,.524,0.0,0.0,,6.6,12.5,.524,3.9,4.2,.929,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17.0,,113,96
6,LaMarcus Aldridge\aldrila01,PF,26,POR,55,55,1994,12.7,24.9,.512,0.1,0.3,.182,12.7,24.6,.516,5.9,7.2,.814,4.0,7.7,11.7,3.5,1.3,1.2,2.9,4.0,31.4,,113,106
7,Lavoy Allen\allenla01,PF,22,PHI,41,15,624,6.8,14.3,.473,0.0,0.0,,6.8,14.3,.473,0.9,1.2,.786,4.0,10.6,14.7,2.9,1.1,1.5,1.7,6.3,14.5,,104,98
8,Ray Allen\allenra02,SG,36,BOS,46,42,1565,7.7,16.7,.458,3.6,7.9,.453,4.1,8.8,.463,3.3,3.6,.915,0.5,4.3,4.8,3.7,1.7,0.3,2.3,2.8,22.2,,111,101
9,Tony Allen\allento01,SG,30,MEM,58,57,1525,7.3,15.5,.469,0.3,0.9,.308,7.0,14.6,.479,4.9,6.1,.800,3.4,4.7,8.1,2.7,3.6,1.1,3.3,4.9,19.7,,106,100
10,Morris Almond\almonmo01,SG,26,WAS,4,0,67,4.6,13.2,.353,0.8,2.3,.333,3.9,10.8,.357,0.8,2.3,.333,0.8,5.4,6.2,1.5,5.4,0.0,0.8,4.6,10.8,,85,101
11,Al-Farouq Aminu\aminual01,SF,21,NOH,66,21,1477,5.5,13.4,.411,0.5,1.7,.277,5.0,11.7,.431,3.2,4.2,.754,3.5,7.8,11.3,2.4,2.2,1.3,3.3,5.0,14.7,,93,103
12,Lou Amundson\amundlo01,PF,29,IND,60,0,753,6.3,14.5,.430,0.0,0.0,,6.3,14.5,.430,2.5,5.8,.427,6.6,9.0,15.6,1.0,1.9,3.1,3.2,8.8,15.0,,92,99
13,Chris Andersen\anderch01,C,33,DEN,32,1,486,6.2,11.3,.546,0.0,0.0,,6.2,11.3,.546,5.2,8.6,.610,5.0,10.5,15.5,0.6,2.0,4.8,1.8,5.5,17.6,,119,99
14,Alan Anderson\anderal01,SF,29,TOR,17,12,461,6.4,16.6,.387,2.8,7.1,.393,3.6,9.4,.383,3.4,4.0,.853,0.9,3.0,4.0,3.0,0.6,0.3,2.9,4.1,19.0,,99,110
15,James Anderson\anderja01,SG,22,SAS,51,2,603,5.7,14.9,.379,1.6,5.8,.279,4.0,9.1,.443,3.3,4.5,.750,1.4,5.4,6.8,3.5,0.7,0.2,2.6,3.0,16.3,,97,107
16,Ryan Anderson\anderry01,PF,23,ORL,61,61,1964,9.1,20.8,.439,4.6,11.6,.393,4.6,9.2,.496,4.1,4.7,.877,6.1,6.8,12.9,1.5,1.4,0.7,1.6,4.0,26.9,,124,105
17,Carmelo Anthony\anthoca01,SF,27,NYK,55,55,1876,12.1,28.2,.430,1.9,5.6,.335,10.2,22.6,.454,8.1,10.1,.804,2.4,7.0,9.4,5.5,1.7,0.7,4.0,4.3,34.2,,106,102
18,Joel Anthony\anthojo01,C,29,MIA,64,51,1349,3.3,5.9,.559,0.0,0.0,,3.3,5.9,.559,1.9,2.8,.690,3.9,5.9,9.8,0.4,1.4,3.3,1.8,4.9,8.5,,113,100
19,Gilbert Arenas\arenagi01,PG,30,MEM,17,0,211,6.5,16.0,.406,3.3,9.8,.333,3.3,6.3,.520,1.8,2.5,.700,0.5,4.0,4.5,4.5,2.8,0.3,3.0,8.8,18.0,,102,103
20,Trevor Ariza\arizatr01,SF,26,NOH,41,41,1350,6.8,16.2,.417,1.2,3.5,.333,5.6,12.7,.440,3.2,4.1,.775,1.7,7.0,8.7,5.4,2.8,1.0,3.1,2.9,17.9,,100,103
21,Omer Asik\asikom01,C,25,CHI,66,2,971,4.4,8.7,.506,0.0,0.0,,4.4,8.7,.506,2.6,5.7,.456,7.0,12.4,19.4,1.8,1.7,3.8,3.8,6.7,11.4,,97,92
22,D.J. Augustin\augusdj01,PG,24,CHA,48,46,1408,6.8,18.2,.376,2.3,6.7,.341,4.6,11.5,.396,3.9,4.5,.875,0.9,3.2,4.1,11.5,1.3,0.0,4.1,2.4,19.9,,100,114
23,Gustavo Ayon\ayongu01,PF,26,NOH,54,24,1088,7.0,13.0,.536,0.0,0.0,.000,7.0,13.0,.538,1.9,3.1,.619,4.3,8.9,13.2,3.7,2.6,2.3,2.3,5.9,15.9,,111,100
24,Jeff Ayres\pendeje02,C,24,IND,20,1,106,7.5,18.0,.417,0.0,0.0,,7.5,18.0,.417,2.0,3.5,.571,6.0,10.5,16.5,2.0,1.5,1.0,1.0,8.0,17.0,,105,101
25,Kelenna Azubuike\azubuke01,SG,28,DAL,3,0,18,8.7,23.3,.375,2.9,8.7,.333,5.8,14.6,.400,0.0,0.0,,0.0,0.0,0.0,0.0,2.9,0.0,11.7,2.9,20.4,,54,106
26,Luke Babbitt\babbilu01,SF,22,POR,40,4,537,7.0,17.0,.410,4.2,9.8,.430,2.7,7.2,.384,1.7,2.0,.850,1.6,7.7,9.3,1.6,1.0,0.4,2.6,4.5,19.8,,103,108
27,Renaldo Balkman\balkmre01,SF,27,NYK,14,0,115,7.2,14.3,.500,0.9,4.0,.222,6.3,10.3,.609,3.6,4.9,.727,2.7,9.0,11.6,2.2,1.8,1.3,2.7,6.3,18.8,,109,99
28,Leandro Barbosa\barbole01,SG,29,TOT,64,0,1382,10.5,24.7,.425,2.5,6.6,.382,8.0,18.1,.441,3.9,4.8,.815,1.3,3.7,5.0,3.7,2.2,0.3,3.6,5.2,27.4,,99,106
28,Leandro Barbosa\barbole01,SG,29,TOR,42,0,946,11.3,25.8,.436,2.3,6.3,.360,9.0,19.5,.461,4.3,5.2,.835,1.2,3.3,4.5,3.6,2.0,0.4,3.9,5.7,29.1,,98,106
28,Leandro Barbosa\barbole01,SG,29,IND,22,0,436,8.9,22.2,.399,3.0,7.2,.424,5.8,15.0,.387,3.0,4.0,.758,1.5,4.5,5.9,4.0,2.4,0.0,3.2,4.1,23.8,,100,105
29,J.J. Barea\bareajo01,PG,27,MIN,41,11,1032,8.3,20.8,.400,2.6,7.1,.371,5.7,13.7,.415,3.8,4.9,.776,0.7,5.0,5.7,11.6,1.0,0.0,5.1,3.0,23.1,,101,110
30,Andrea Bargnani\bargnan01,C,26,TOR,31,31,1032,10.9,25.2,.432,1.8,6.0,.296,9.1,19.2,.474,7.9,9.0,.873,1.3,7.7,9.0,3.2,0.9,0.8,3.6,2.7,31.4,,104,106
31,Matt Barnes\barnema02,SF,31,LAL,63,16,1440,6.4,14.2,.452,1.7,5.1,.333,4.7,9.2,.518,3.5,4.7,.742,3.6,9.1,12.7,4.6,1.3,1.8,2.7,5.6,18.1,,112,103
32,Earl Barron\barroea01,C,30,GSW,2,0,9,11.6,23.1,.500,0.0,0.0,,11.6,23.1,.500,0.0,0.0,,5.8,0.0,5.8,0.0,0.0,0.0,0.0,28.9,23.1,,110,117
33,Brandon Bass\bassbr01,PF,26,BOS,59,39,1868,8.6,18.0,.479,0.0,0.0,,8.6,18.0,.479,3.8,4.6,.810,2.7,7.7,10.4,1.6,1.0,1.5,1.8,3.8,21.0,,103,99
34,Tony Battie\battito01,C,35,PHI,27,11,295,3.4,9.3,.373,0.0,0.2,.000,3.4,9.1,.380,0.7,0.7,1.000,1.5,10.7,12.2,2.9,0.7,1.1,0.7,4.7,7.6,,94,99
35,Shane Battier\battish01,SF,33,MIA,65,10,1499,4.0,10.3,.387,2.2,6.4,.339,1.8,3.8,.468,0.8,1.3,.622,2.0,3.5,5.5,2.9,2.2,1.2,1.3,3.7,10.9,,108,102
36,Nicolas Batum\batumni01,SF,23,POR,59,34,1791,8.5,18.8,.451,3.1,8.1,.391,5.3,10.8,.496,3.9,4.7,.836,2.4,5.6,8.0,2.5,1.7,1.8,2.6,3.1,24.0,,112,107
37,Jerryd Bayless\bayleje01,PG,23,TOR,31,11,705,8.9,21.1,.424,3.4,7.9,.423,5.6,13.1,.424,5.7,6.7,.852,0.6,4.4,5.0,9.0,1.8,0.3,4.0,5.3,26.9,,110,106
38,Michael Beasley\beaslmi01,SF,23,MIN,47,7,1087,10.5,23.5,.445,1.8,4.8,.376,8.7,18.7,.462,2.9,4.5,.642,1.8,8.0,9.8,2.1,0.9,0.9,3.8,3.9,25.6,,95,107
39,Rodrigue Beaubois\beaubro01,PG,23,DAL,53,12,1151,8.6,20.3,.422,1.7,6.0,.288,6.8,14.3,.479,2.6,3.1,.841,0.9,6.0,6.9,6.9,2.6,1.3,3.2,4.5,21.5,,100,101
40,Marco Belinelli\belinma01,SG,25,NOH,66,55,1966,7.9,19.0,.417,3.0,7.9,.377,4.9,11.1,.445,2.8,3.6,.783,0.5,4.2,4.8,2.8,1.3,0.1,1.9,3.2,21.6,,105,109
41,Raja Bell\bellra01,SG,35,UTA,34,33,796,5.3,11.5,.466,2.2,5.7,.391,3.1,5.7,.540,1.4,1.6,.840,0.4,2.8,3.2,2.5,0.9,0.1,1.4,5.1,14.3,,115,112
42,Keith Benson\bensoke02,C,23,GSW,3,0,9,0.0,5.8,.000,0.0,0.0,,0.0,5.8,.000,0.0,0.0,,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,,98,115
43,Mike Bibby\bibbymi01,PG,33,NYK,39,4,557,3.2,11.5,.282,2.5,7.9,.318,0.7,3.6,.205,0.6,0.7,.750,0.5,5.0,5.5,7.4,1.9,0.3,1.8,4.2,9.5,,97,103
44,Andris Biedrins\biedran01,C,25,GSW,47,35,739,2.7,4.5,.609,0.0,0.0,,2.7,4.5,.609,0.1,0.6,.111,3.2,9.2,12.4,1.1,1.6,3.2,1.0,8.8,5.6,,118,105
45,Chauncey Billups\billuch01,SG,35,LAC,20,20,607,7.4,20.2,.364,4.3,11.1,.384,3.1,9.1,.340,7.5,8.4,.895,0.4,4.1,4.4,7.1,0.8,0.3,3.4,3.5,26.5,,114,111
46,Bismack Biyombo\biyombi01,C,19,CHA,63,41,1455,4.7,10.1,.464,0.0,0.0,,4.7,10.1,.464,2.5,5.2,.483,4.1,9.2,13.3,1.0,0.7,4.2,2.6,5.3,11.8,,92,107
47,DeJuan Blair\blairde01,PF,22,SAS,64,62,1363,10.2,19.1,.534,0.0,0.0,.000,10.2,19.1,.535,2.8,4.5,.613,5.8,7.5,13.3,3.0,2.2,0.5,3.5,6.4,23.2,,108,102
48,Steve Blake\blakest01,PG,31,LAL,53,5,1237,4.3,11.5,.377,2.3,6.8,.335,2.1,4.7,.436,0.9,1.2,.778,0.4,3.3,3.6,7.5,1.7,0.1,3.1,3.2,11.8,,98,108
49,Andray Blatche\blatcan01,PF,25,WAS,26,13,626,7.7,20.3,.380,0.2,0.6,.286,7.5,19.7,.382,2.7,4.1,.673,3.5,8.9,12.4,2.3,1.7,1.4,3.1,4.5,18.3,,87,105
50,Eric Bledsoe\bledser01,PG,22,LAC,40,1,464,5.7,14.6,.389,0.7,3.5,.200,5.0,11.1,.448,3.2,5.1,.636,2.6,5.0,7.5,7.7,3.6,1.6,5.5,6.7,15.3,,90,102
51,Keith Bogans\boganke01,SF,31,NJN,5,1,94,4.5,11.9,.381,1.7,6.8,.250,2.8,5.1,.556,1.1,2.8,.400,2.8,3.4,6.2,1.7,1.1,0.0,1.7,8.5,11.9,,95,113
52,Andrew Bogut\bogutan01,C,27,MIL,12,12,364,8.6,19.1,.449,0.0,0.1,.000,8.6,19.0,.452,2.0,3.2,.609,3.1,11.0,14.1,4.4,1.7,3.4,3.4,5.1,19.1,,94,100
53,Matt Bonner\bonnema01,PF,31,SAS,65,2,1326,6.0,13.6,.440,4.1,9.7,.420,1.9,3.9,.490,0.6,0.8,.762,1.1,7.2,8.3,2.4,0.6,0.8,0.5,2.6,16.7,,124,106
54,Trevor Booker\booketr01,PF,24,WAS,50,32,1261,7.4,14.0,.531,0.0,0.1,.500,7.4,13.9,.531,2.3,3.8,.602,4.9,8.5,13.4,1.6,2.0,1.8,2.4,5.7,17.2,,109,104
55,Carlos Boozer\boozeca01,PF,30,CHI,66,66,1948,12.4,23.3,.532,0.0,0.0,.000,12.4,23.2,.533,2.6,3.8,.693,3.2,12.4,15.6,3.5,1.7,0.7,3.2,4.6,27.4,,108,95
56,Chris Bosh\boshch01,PF,27,MIA,57,57,2007,10.3,21.2,.487,0.3,0.9,.286,10.0,20.2,.496,6.0,7.3,.821,2.5,9.4,11.9,2.7,1.3,1.2,3.1,3.4,26.9,,109,100
57,Earl Boykins\boykiea01,PG,35,HOU,8,0,111,5.7,17.0,.333,0.9,4.2,.222,4.7,12.7,.370,6.1,7.1,.867,0.0,5.2,5.2,8.0,0.5,0.0,3.3,2.4,18.4,,98,110
58,Craig Brackins\brackcr01,PF,24,PHI,14,1,88,5.5,20.1,.273,1.8,5.5,.333,3.6,14.6,.250,0.6,1.2,.500,3.0,6.1,9.1,4.9,0.0,0.6,2.4,3.6,13.4,,77,104
59,Avery Bradley\bradlav01,PG,21,BOS,64,28,1368,7.8,15.6,.498,0.9,2.1,.407,6.9,13.5,.511,2.4,3.0,.795,1.3,3.1,4.5,3.4,1.7,0.5,2.9,4.2,18.8,,100,102
60,Elton Brand\brandel01,C,32,PHI,60,60,1732,8.9,18.0,.494,0.0,0.0,.000,8.9,17.9,.495,2.6,3.6,.733,4.5,8.8,13.3,3.0,1.8,3.0,2.0,5.4,20.4,,108,96
61,Corey Brewer\breweco01,SF,25,DEN,59,17,1287,8.0,18.3,.434,1.3,5.0,.260,6.7,13.3,.500,3.6,5.1,.692,1.7,4.2,5.9,3.5,2.9,0.7,2.2,4.5,20.8,,104,106
62,Ronnie Brewer\brewero02,SG,26,CHI,66,43,1635,6.3,14.7,.427,0.6,2.3,.275,5.6,12.4,.455,1.8,3.3,.560,2.4,5.2,7.6,4.5,2.4,0.7,1.9,2.1,15.0,,103,99
63,Jon Brockman\brockjo01,PF,24,MIL,35,0,239,3.2,9.6,.333,0.0,0.2,.000,3.2,9.4,.341,1.5,3.2,.467,7.1,9.0,16.1,1.9,0.9,0.2,2.1,7.1,7.9,,92,106
64,MarShon Brooks\brookma01,SG,23,NJN,56,47,1648,8.9,20.7,.428,1.5,4.8,.313,7.3,15.8,.463,3.7,4.8,.764,2.3,4.2,6.5,4.2,1.7,0.5,3.8,3.7,22.9,,98,111
65,Derrick Brown\brownde04,SF,24,CHA,65,17,1443,7.7,14.9,.518,0.2,0.9,.250,7.5,14.1,.535,3.4,5.1,.667,3.5,5.1,8.6,2.4,1.8,0.4,2.0,3.5,19.1,,110,111
66,Kwame Brown\brownkw01,C,29,GSW,9,3,187,5.8,11.1,.525,0.0,0.0,,5.8,11.1,.525,4.2,9.5,.441,4.4,11.4,15.8,1.1,2.2,0.0,3.9,5.8,15.8,,94,105
67,Shannon Brown\brownsh01,SG,26,PHO,59,19,1400,9.3,22.1,.420,2.5,7.0,.362,6.8,15.2,.446,3.0,3.7,.808,1.4,4.4,5.8,2.6,1.6,0.6,2.4,2.4,24.1,,101,108
68,Kobe Bryant\bryanko01,SG,33,LAL,58,58,2232,13.6,31.7,.430,2.1,6.8,.303,11.6,24.9,.464,9.1,10.7,.845,1.6,5.9,7.4,6.3,1.6,0.4,4.8,2.5,38.4,,105,106
69,Chase Budinger\budinch01,SF,23,HOU,58,9,1298,8.4,19.0,.442,3.5,8.8,.402,4.8,10.2,.476,2.2,2.8,.771,1.5,7.2,8.8,3.0,1.2,0.3,2.2,2.6,22.5,,110,107
70,Alec Burks\burksal01,SG,20,UTA,59,0,939,8.6,20.0,.429,0.8,2.5,.333,7.7,17.4,.442,5.8,8.0,.727,3.2,4.2,7.4,3.1,1.5,0.3,2.9,4.7,23.8,,105,109
71,Caron Butler\butleca01,SF,31,LAC,63,63,1871,8.3,20.3,.407,2.6,7.4,.358,5.6,12.9,.435,2.5,3.1,.813,1.3,5.4,6.6,2.2,1.5,0.3,2.2,3.5,21.7,,102,108
72,Jimmy Butler\butleji01,SG,22,CHI,42,0,359,4.8,11.8,.405,0.3,1.6,.182,4.5,10.2,.441,6.4,8.4,.768,3.4,4.9,8.4,2.1,1.6,0.7,2.1,3.0,16.3,,112,100
73,Rasual Butler\butlera01,SF,32,TOR,34,14,453,4.9,15.8,.308,2.5,9.1,.273,2.4,6.6,.357,0.8,1.4,.583,0.7,7.1,7.8,2.3,0.8,0.6,1.8,4.6,13.1,,82,106
74,Derrick Byars\byarsde01,PF,27,SAS,2,0,37,4.2,15.4,.273,0.0,8.4,.000,4.2,7.0,.600,5.6,5.6,1.000,8.4,7.0,15.4,1.4,2.8,0.0,0.0,2.8,14.0,,113,102
75,Andrew Bynum\bynuman01,C,24,LAL,60,60,2112,11.1,20.0,.558,0.0,0.1,.200,11.1,19.9,.560,5.9,8.5,.692,4.8,13.0,17.8,2.1,0.7,2.9,3.8,2.6,28.2,,112,100
76,Will Bynum\bynumwi01,PG,29,DET,36,0,514,7.7,20.3,.381,0.7,3.0,.241,7.0,17.3,.406,5.1,6.7,.766,1.0,4.8,5.9,6.9,2.4,0.3,5.7,6.4,21.3,,88,106
77,Jose Calderon\caldejo01,PG,30,TOR,53,53,1799,6.5,14.3,.457,1.8,4.8,.371,4.8,9.5,.500,1.8,2.0,.882,0.6,4.2,4.8,14.0,1.4,0.1,3.1,2.8,16.6,,116,108
78,Marcus Camby\cambyma01,C,37,TOT,59,53,1352,5.0,11.2,.446,0.1,0.2,.400,4.9,11.0,.447,1.1,2.5,.453,6.1,14.5,20.6,4.2,1.9,3.3,2.2,4.9,11.2,,105,98
78,Marcus Camby\cambyma01,C,37,POR,40,40,894,3.9,9.5,.416,0.0,0.0,,3.9,9.5,.416,1.1,2.2,.474,6.2,14.7,20.8,4.4,1.9,3.3,2.8,5.2,8.9,,100,98
78,Marcus Camby\cambyma01,C,37,HOU,19,13,458,7.0,14.4,.484,0.2,0.6,.400,6.7,13.8,.488,1.3,3.0,.423,5.9,14.2,20.1,3.7,1.9,3.3,1.1,4.3,15.4,,115,97
79,Brian Cardinal\cardibr01,SF,34,DAL,44,0,277,2.7,10.4,.255,1.9,9.3,.204,0.8,1.1,.667,0.9,1.1,.833,0.8,5.7,6.4,3.0,1.5,0.4,1.5,7.2,8.1,,82,105
80,DeMarre Carroll\carrode01,SF-PF,25,TOT,24,9,348,6.5,15.8,.410,1.1,2.9,.368,5.4,13.0,.419,2.1,2.4,.875,4.2,3.8,8.0,2.7,1.8,0.2,1.7,5.6,16.1,,106,109
80,DeMarre Carroll\carrode01,PF,25,DEN,4,0,21,14.6,14.6,1.000,0.0,0.0,,14.6,14.6,1.000,0.0,0.0,,0.0,7.3,7.3,7.3,0.0,0.0,4.9,2.4,29.1,,139,111
80,DeMarre Carroll\carrode01,SF,25,UTA,20,9,327,5.9,15.9,.374,1.1,3.1,.368,4.8,12.8,.375,2.2,2.6,.875,4.5,3.5,8.0,2.4,1.9,0.2,1.4,5.8,15.3,,104,109
81,Matt Carroll\carroma01,SG,31,CHA,53,2,596,4.6,13.9,.331,0.7,3.8,.186,3.9,10.1,.386,2.7,3.4,.789,0.7,4.4,5.1,3.4,1.4,0.6,2.1,4.6,12.6,,84,112
82,Anthony Carter\cartean01,PG,36,TOR,24,0,209,4.4,13.6,.321,1.3,4.4,.294,3.1,9.3,.333,2.1,2.6,.800,1.3,7.2,8.5,8.7,2.1,1.0,4.4,5.1,12.1,,85,103
83,Vince Carter\cartevi01,SG,35,DAL,61,40,1542,7.6,18.5,.411,2.5,7.0,.361,5.1,11.5,.442,3.2,3.9,.826,1.1,5.9,7.0,4.7,1.9,0.9,2.9,4.6,20.9,,102,103
84,Omri Casspi\casspom01,SF,23,CLE,65,35,1341,6.5,16.1,.403,2.1,6.6,.315,4.4,9.6,.463,2.9,4.2,.685,2.5,6.5,8.9,2.6,1.5,0.8,2.5,4.5,18.0,,101,109
85,Mario Chalmers\chalmma01,PG,25,MIA,64,64,1825,6.4,14.4,.448,2.9,7.5,.388,3.5,6.9,.513,2.3,2.9,.792,0.5,4.5,4.9,6.4,2.8,0.3,4.1,4.8,18.1,,104,101
86,Tyson Chandler\chandty01,C,29,NYK,62,62,2061,6.0,8.9,.679,0.0,0.0,.000,6.0,8.8,.683,5.4,7.9,.689,5.3,10.0,15.3,1.4,1.4,2.2,2.5,4.6,17.5,,130,99
87,Wilson Chandler\chandwi01,SF,24,DEN,8,6,215,7.3,18.7,.392,0.7,2.8,.250,6.6,15.9,.418,2.4,2.8,.833,1.4,8.3,9.7,4.0,1.4,1.4,4.3,4.3,17.8,,86,105
88,Josh Childress\childjo01,SF,28,PHO,34,0,491,5.1,10.4,.485,0.4,2.5,.167,4.6,7.9,.587,0.0,0.2,.000,3.3,6.8,10.0,3.6,1.5,0.6,0.9,4.0,10.6,,114,107
89,Earl Clark\clarkea01,PF,24,ORL,45,1,559,4.9,13.4,.367,0.0,0.0,,4.9,13.4,.367,2.0,2.8,.724,3.4,8.6,12.0,1.7,1.2,3.1,2.4,6.9,11.9,,87,101
90,Norris Cole\coleno01,PG,23,MIA,65,2,1260,7.4,18.8,.393,0.9,3.2,.276,6.5,15.6,.417,2.8,3.6,.776,0.9,2.9,3.8,5.6,1.8,0.1,4.4,5.2,18.4,,88,104
91,Jason Collins\collija04,C,33,ATL,30,10,308,2.8,6.9,.400,0.0,0.0,,2.8,6.9,.400,1.2,2.6,.467,2.1,6.2,8.3,1.7,0.7,0.5,1.7,5.9,6.7,,87,104
92,Darren Collison\collida01,PG,24,IND,60,56,1878,6.5,14.7,.440,1.0,2.6,.362,5.5,12.1,.457,3.6,4.3,.830,0.8,4.4,5.3,8.1,1.4,0.4,3.2,2.8,17.5,,108,107
93,Nick Collison\collini01,PF,31,OKC,63,0,1307,4.7,7.9,.597,0.0,0.0,.000,4.7,7.9,.600,1.7,2.4,.710,4.7,6.1,10.8,3.2,1.3,1.1,2.4,6.0,11.2,,121,105
94,Mike Conley\conlemi01,PG,24,MEM,62,61,2174,7.2,16.6,.433,1.5,3.9,.377,5.7,12.8,.450,3.3,3.8,.861,0.5,3.3,3.8,9.8,3.3,0.3,3.0,3.2,19.2,,110,102
95,Brian Cook\cookbr01,PF,31,TOT,32,0,276,5.9,18.7,.316,1.9,9.5,.200,4.0,9.2,.438,1.7,1.9,.900,1.9,10.1,12.0,1.9,1.1,1.0,2.1,9.2,15.5,,85,105
95,Brian Cook\cookbr01,PF,31,LAC,16,0,121,4.9,21.8,.224,2.2,12.0,.185,2.7,9.8,.273,1.8,1.8,1.000,1.8,8.5,10.2,0.9,0.9,1.8,1.8,11.6,13.8,,71,105
95,Brian Cook\cookbr01,PF,31,WAS,16,0,155,6.7,16.4,.408,1.7,7.7,.217,5.0,8.7,.577,1.7,2.0,.833,2.0,11.4,13.4,2.7,1.3,0.3,2.3,7.4,16.7,,98,105
96,Daequan Cook\cookda02,SG,24,OKC,57,22,989,5.7,15.4,.368,4.1,11.9,.346,1.6,3.5,.441,0.7,1.1,.636,0.6,5.7,6.4,0.8,1.1,0.6,0.8,3.6,16.2,,106,107
97,DeMarcus Cousins\couside01,C,21,SAC,64,62,1950,11.6,26.0,.448,0.1,0.4,.143,11.6,25.6,.453,6.8,9.7,.702,6.9,11.4,18.3,2.7,2.4,1.9,4.4,6.7,30.2,,102,104
98,Jamal Crawford\crawfja01,PG,31,POR,60,6,1613,9.2,24.0,.384,2.6,8.5,.308,6.6,15.6,.426,6.2,6.7,.927,0.5,3.3,3.8,6.2,1.8,0.5,3.6,2.4,27.3,,102,109
99,Jordan Crawford\crawfjo02,SG,23,WAS,64,32,1753,10.3,25.8,.400,2.3,8.1,.289,8.0,17.7,.451,4.8,6.0,.793,1.3,3.7,5.0,5.6,1.7,0.1,4.2,3.3,27.8,,97,110
100,Dante Cunningham\cunnida01,PF,24,MEM,64,5,1124,6.8,13.1,.516,0.0,0.1,.000,6.8,13.0,.520,2.1,3.2,.652,4.3,7.3,11.6,1.7,2.0,1.6,1.4,4.6,15.7,,115,101
101,Eddy Curry\curryed01,C,29,MIA,14,1,83,7.6,16.5,.462,0.0,0.0,,7.6,16.5,.462,3.8,5.1,.750,2.5,5.1,7.6,0.6,0.0,1.3,6.3,10.8,19.0,,82,105
102,Stephen Curry\curryst01,PG,23,GSW,26,23,732,10.3,21.0,.490,3.9,8.6,.455,6.4,12.4,.514,2.7,3.3,.809,1.1,5.2,6.2,9.8,2.8,0.6,4.6,4.4,27.2,,112,108
